participante,comentário,dia
b9999e0a-60b7-4323-a00b-2c9319ddf8e6,#ansiosa,20/07/2025 16:04
489050ba-f6ce-4f05-a8ce-d6bdee47371a,Ansiosa para o início do evento!!,21/07/2025 10:12
0075ff65-ea4f-498d-992f-ada2464aa615,Olá. Ansiosa para o início do WIT!,21/07/2025 11:24
0075ff65-ea4f-498d-992f-ada2464aa615,Maceió é massa!,21/07/2025 11:29
df0c5066-4918-4384-bf21-9ba7343bf772,Começa logo!! KKKKKKK,21/07/2025 12:18
0b4761ba-7672-4bde-89c3-74f013f2b163,"Ansiosa desde já! ",21/07/2025 14:48
a6584b5b-822e-4c85-be5b-e91db87dc16e,Já  me preparando para amanhã!,21/07/2025 20:44
1e411a8b-4d32-4425-945d-09887c5071b8,Muito feliz!!! Mais uma edição do WIT preparada com muito carinho!!!,22/07/2025 06:45
1e411a8b-4d32-4425-945d-09887c5071b8,Missões disponibilizadas!!! Partiu gamificação!!!!,22/07/2025 06:46
0075ff65-ea4f-498d-992f-ada2464aa615,É  hoje!,22/07/2025 06:54
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,Wit 2025 está para começar! 🎉,22/07/2025 07:34
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,Storygirl presente no wit2025,22/07/2025 07:34
f3eed192-b8ab-4094-942f-54e234fbb70b,Ansiosaaa para o wit 💜💜,22/07/2025 07:41
f3eed192-b8ab-4094-942f-54e234fbb70b,Coletivo Lovelace presente no wit 🫶🏻,22/07/2025 07:41
bf25caf2-133a-4e49-af4f-273e12e2009e,Já chegaremos no evento ❤️,22/07/2025 08:05
bf25caf2-133a-4e49-af4f-273e12e2009e,Ansiosa já 🧡,22/07/2025 08:05
0b4761ba-7672-4bde-89c3-74f013f2b163,Primeiro dia! Vamos que vamos meninas!! 🚀,22/07/2025 08:25
0b4761ba-7672-4bde-89c3-74f013f2b163,Ansiosa para começar! 🩷,22/07/2025 08:25
9d149e84-581a-4008-996e-d3680d5bcd88,O aplicativo está ótimo!,22/07/2025 08:38
9d149e84-581a-4008-996e-d3680d5bcd88,"Fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes. Ao tirar e marcar de novo, não deu certo",22/07/2025 08:39
a24b5393-ee39-4272-8f84-7f95fa794341,Ansiosa pelas novidades do WIT.,22/07/2025 08:47
8ac171ff-ae8c-4709-899e-93e23ba84729,Amando aqui,22/07/2025 08:58
599e5dc6-fa67-4845-a44e-539c244937fc,"As meninas da Gamificação são incríveis!!!! ",22/07/2025 08:58
8ac171ff-ae8c-4709-899e-93e23ba84729,Só felicidades,22/07/2025 08:59
06f1249e-61d1-4916-a745-f29b8095822b,"Organização, animação e energia das meninas, tudo impecável e maravilhoso ❤️❤️ tou amando fazer parte disso ",22/07/2025 09:01
06f1249e-61d1-4916-a745-f29b8095822b,"Animada pra aproveitar cada coisinha desse evento maravilhoso ",22/07/2025 09:01
