participante,comentário,dia
13c63d6c-e94d-4b8b-829b-3a6f523ac131,Bora de minas coders Day!,13/12/2024 08:17
13c63d6c-e94d-4b8b-829b-3a6f523ac131,Qual shampoo o a Ana usa?,13/12/2024 08:17
7cf13434-76d6-4046-96fd-1cfd9d429282,Abertura muito boa ixi,13/12/2024 08:18
b843c3db-fc8f-45a6-8322-19b87391fa20,Amei a decoração do auditório! Arrasaram como sempre.,13/12/2024 08:19
13c63d6c-e94d-4b8b-829b-3a6f523ac131,"Ansioso para os sorteios ",13/12/2024 08:19
b843c3db-fc8f-45a6-8322-19b87391fa20,"Vamos para mais um dia maravilhoso, comemorando mais um ano com o aumento das mulheres na computação. Por mais anos assim!",13/12/2024 08:21
b843c3db-fc8f-45a6-8322-19b87391fa20,Nos preparar para um dia com palestras incríveis e super importantes!,13/12/2024 08:23
08101ce6-e4af-4e12-81d5-87afcafc4b3b,Go go Minas Coders,13/12/2024 08:28
08101ce6-e4af-4e12-81d5-87afcafc4b3b,tomara que não esqueçam o Izadora,13/12/2024 08:28
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,minascoders melhor programa da UFV,13/12/2024 08:31
cd9a5b5a-0583-4590-a133-863647e24ed2,melhor evento da ufv >>>,13/12/2024 08:31
34d7ba0b-7b62-4439-b143-d7dd24797376,Minas day!,13/12/2024 08:32
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,"respondam o formulário pro POC da Aymê ",13/12/2024 08:32
02af807d-7123-444e-b61e-89eaf92be60f,Minas coders!!!!,13/12/2024 08:32
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,"quero coffee break ",13/12/2024 08:32
43aca24c-d788-497e-8521-06df728eeaf8,Muito animado pro minascoders day,13/12/2024 08:33
cd9a5b5a-0583-4590-a133-863647e24ed2,"essa blusa nova tá TÃO LINDA, queria ter pedido uma ✋🏻😔",13/12/2024 08:34
cd9a5b5a-0583-4590-a133-863647e24ed2,muito bom saber de todo reconhecimento e apoio que o mc tá tendo!!,13/12/2024 08:35
50a1eb8e-50fb-4cc4-b79b-6b4b2a4a8c61,Altas expectativas para o Minas Coders Day!!!!!,13/12/2024 08:35
12c8e1ec-c662-415a-b106-b64ccb7ece3f,"A dinâmica de apresentação de projetos é muito legal para vermos a evolução do projeto ",13/12/2024 08:37
12c8e1ec-c662-415a-b106-b64ccb7ece3f,"Esse ano o evento está muito bonito ",13/12/2024 08:37
dc5abacc-859f-42c1-99d1-017b4401bcb6,Amo esse evento!!! Vai MinasCoders,13/12/2024 08:37
dc5abacc-859f-42c1-99d1-017b4401bcb6,As meninas do HighSchool Minas arrasam,13/12/2024 08:38
5124c428-53ee-4ec7-a2e4-450adc2fddf8,Sexteto mereceu muito!!,13/12/2024 08:46
