participante,comentário,dia
88254066-58d3-4049-ac9d-5b393c178080,Animado para o início do evento!!! 🥳😁,23/05/2026 11:34
8fb055f1-9990-4f11-afef-3ae3fc70657f,"Cheguei em SSA! ✈️😎
Animado para o WRNP 2026! Boa viagem a todos 🙌
Onde é o ponto do transfer para Praia do Forte?",24/05/2026 10:40
8fb055f1-9990-4f11-afef-3ae3fc70657f,"Já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
Tem uma pessoa com a plaquinha do WRNP por aqui 👍
Parabéns pela organização! 👏",24/05/2026 11:17
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,Já estou em Praia do Forte - Ba. Aguardando o WRNP amanhã 😁. Animação total 😉,24/05/2026 18:19
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,Qual será a rede Wi-Fi do WRNP?,25/05/2026 10:36
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,Wi-fi WRNP: WRNP/SBRC senha WRNP@SBRC,25/05/2026 11:10
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"O local muito bom para os eventos, Praia do Forte é Top!",25/05/2026 11:11
8fb055f1-9990-4f11-afef-3ae3fc70657f,"AVISO:
Alguém esqueceu um livro no banheiro masculino.
12 semanas.para mudar uma vida!",25/05/2026 17:52
3184b5ae-cd29-4695-b0f9-64602efe7d86,Qual o @ dos fotógrafos do evento?,26/05/2026 13:49
b9ce085c-74f8-412e-8a55-1391f0867ebd,Os QR-codes foram mostrados no inicio das palestras das 14:00 e serão mostrados novamente no final das palestras das 14:00,26/05/2026 14:27
2615c42b-7054-4037-9fb0-0ab0075760b1,Não me inscrevi no transfer pra a volta ao aeroporto hoje. Como faço isso?,27/05/2026 06:24
0275a659-84e2-45b4-8b36-75bc13084819,"Fotos do evento:
https://arleyprates.com/disk/2026-05-25-wrnp-2026 ",27/05/2026 10:59
