participante,comentário,dia
15ae4086-4952-4aac-a16b-5c2852e5e523,"Bom dia, gente. Tenham um bom evento.",24/09/2025 06:16
74a428fb-ce18-49d7-851b-7bfe5742e054,Vai começar!!!!!,24/09/2025 06:25
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"finalmente mais Secom!!! ",24/09/2025 06:50
7d582411-e617-4105-8edf-bca7ee066eca,"Gostei bastante da decoração ",24/09/2025 08:31
ad08e116-810d-4533-a7c6-9782fcb55f6d,"Que seja mais uma excelente secom ",24/09/2025 08:35
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,Credenciamento organizado,24/09/2025 08:38
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,cachorro cupuaçu,24/09/2025 08:38
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,Decoração muito boa,24/09/2025 08:39
e2b6d403-470e-4752-8767-48575bb10c67,"Bom evento ai galera ",24/09/2025 08:39
15ae4086-4952-4aac-a16b-5c2852e5e523,Tá cedo pra querer saber qual é o shampoo do Patrick?,24/09/2025 08:40
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na Renner com a playlist 
bom dms ",24/09/2025 08:42
15ae4086-4952-4aac-a16b-5c2852e5e523,"Quem vai me passar a playlist dessa abertura aí? ",24/09/2025 08:48
15ae4086-4952-4aac-a16b-5c2852e5e523,"Devia ter um jeito de ver todos os comentários, isso é paias",24/09/2025 08:52
226440c8-ce0c-42b8-a37b-8435e915955d,Animada para a SECOM!!!!!!!!,24/09/2025 08:55
d13dce39-51a4-4170-8b39-f06cb1f6adf6,Ansiosa para o coffee break!,24/09/2025 09:26
4a38eef3-4375-45b4-b386-649cb518c20b,To com fome ja gente kkkkk....,24/09/2025 09:28
d13dce39-51a4-4170-8b39-f06cb1f6adf6,Estou super animada para a secom!!!!,24/09/2025 09:28
4a38eef3-4375-45b4-b386-649cb518c20b,"Os novos comentários do pessoal não estão mostrando pra mim, paias",24/09/2025 09:31
700f7b0c-46a5-4f88-b605-7015d0660e2b,Ótimo evento,24/09/2025 09:33
