participante,comentário,dia
b9999e0a-60b7-4323-a00b-2c9319ddf8e6,#ansiosa,20/07/2025 16:04
489050ba-f6ce-4f05-a8ce-d6bdee47371a,ansiosa para o início do evento!!,21/07/2025 10:12
0075ff65-ea4f-498d-992f-ada2464aa615,olá. ansiosa para o início do wit!,21/07/2025 11:24
0075ff65-ea4f-498d-992f-ada2464aa615,maceió é massa!,21/07/2025 11:29
df0c5066-4918-4384-bf21-9ba7343bf772,começa logo!! kkkkkkk,21/07/2025 12:18
0b4761ba-7672-4bde-89c3-74f013f2b163,ansiosa desde já!,21/07/2025 14:48
a6584b5b-822e-4c85-be5b-e91db87dc16e,já  me preparando para amanhã!,21/07/2025 20:44
1e411a8b-4d32-4425-945d-09887c5071b8,muito feliz!!! mais uma edição do wit preparada com muito carinho!!!,22/07/2025 06:45
1e411a8b-4d32-4425-945d-09887c5071b8,missões disponibilizadas!!! partiu gamificação!!!!,22/07/2025 06:46
0075ff65-ea4f-498d-992f-ada2464aa615,é  hoje!,22/07/2025 06:54
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,wit 2025 está para começar! 🎉,22/07/2025 07:34
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,storygirl presente no wit2025,22/07/2025 07:34
f3eed192-b8ab-4094-942f-54e234fbb70b,ansiosaaa para o wit 💜💜,22/07/2025 07:41
f3eed192-b8ab-4094-942f-54e234fbb70b,coletivo lovelace presente no wit 🫶🏻,22/07/2025 07:41
bf25caf2-133a-4e49-af4f-273e12e2009e,já chegaremos no evento ❤️,22/07/2025 08:05
bf25caf2-133a-4e49-af4f-273e12e2009e,ansiosa já 🧡,22/07/2025 08:05
0b4761ba-7672-4bde-89c3-74f013f2b163,primeiro dia! vamos que vamos meninas!! 🚀,22/07/2025 08:25
0b4761ba-7672-4bde-89c3-74f013f2b163,ansiosa para começar! 🩷,22/07/2025 08:25
9d149e84-581a-4008-996e-d3680d5bcd88,o aplicativo está ótimo!,22/07/2025 08:38
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes. ao tirar e marcar de novo, não deu certo",22/07/2025 08:39
a24b5393-ee39-4272-8f84-7f95fa794341,ansiosa pelas novidades do wit.,22/07/2025 08:47
8ac171ff-ae8c-4709-899e-93e23ba84729,amando aqui,22/07/2025 08:58
599e5dc6-fa67-4845-a44e-539c244937fc,as meninas da gamificação são incríveis!!!!,22/07/2025 08:58
8ac171ff-ae8c-4709-899e-93e23ba84729,só felicidades,22/07/2025 08:59
06f1249e-61d1-4916-a745-f29b8095822b,"organização, animação e energia das meninas, tudo impecável e maravilhoso ❤️❤️ tou amando fazer parte disso",22/07/2025 09:01
06f1249e-61d1-4916-a745-f29b8095822b,animada pra aproveitar cada coisinha desse evento maravilhoso,22/07/2025 09:01
b0bd5290-3dd4-4593-99b9-c1055814408b,super animada para aproveitar cada momento desse evento❤️,22/07/2025 09:02
