usuario,texto,entidade_mencionada
489050ba-f6ce-4f05-a8ce-d6bdee47371a,ansiosa para o início do evento,Abertura
0075ff65-ea4f-498d-992f-ada2464aa615,ansiosa para o início do wit,Abertura
0075ff65-ea4f-498d-992f-ada2464aa615,maceió é massa,Organizacao
df0c5066-4918-4384-bf21-9ba7343bf772,kkkkkkk,Organizacao
1e411a8b-4d32-4425-945d-09887c5071b8,mais uma edição do wit preparada com muito carinho,Engie
1e411a8b-4d32-4425-945d-09887c5071b8,mais uma edição do wit preparada com muito carinho,Saudades
1e411a8b-4d32-4425-945d-09887c5071b8,missões disponibilizadas,Organizacao
1e411a8b-4d32-4425-945d-09887c5071b8,partiu gamificação,Gamificacao
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,storygirl presente no wit2025,Storygirl
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,storygirl presente no wit2025,Witcsbc2025
f3eed192-b8ab-4094-942f-54e234fbb70b,coletivo lovelace presente no wit 🫶🏻,Lovelace
0b4761ba-7672-4bde-89c3-74f013f2b163,vamos que vamos meninas,Mulheres
9d149e84-581a-4008-996e-d3680d5bcd88,o aplicativo está ótimo,Aplicativo
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Desafios
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Organizacao
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Itens
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Agenda
9d149e84-581a-4008-996e-d3680d5bcd88,"marcar de novo, não deu certo",Novo
a24b5393-ee39-4272-8f84-7f95fa794341,ansiosa pelas novidades do wit,Novo
599e5dc6-fa67-4845-a44e-539c244937fc,as meninas da gamificação são incríveis,Mulheres
599e5dc6-fa67-4845-a44e-539c244937fc,as meninas da gamificação são incríveis,Gamificacao
8ac171ff-ae8c-4709-899e-93e23ba84729,só felicidades,Saudades
06f1249e-61d1-4916-a745-f29b8095822b,"organização, animação",Animacao
06f1249e-61d1-4916-a745-f29b8095822b,"organização, animação",Organizacao
06f1249e-61d1-4916-a745-f29b8095822b,"energia das meninas, tudo impecável",Mulheres
06f1249e-61d1-4916-a745-f29b8095822b,"energia das meninas, tudo impecável",Energia
06f1249e-61d1-4916-a745-f29b8095822b,maravilhoso ❤️❤️ tou amando fazer parte disso,Organizacao
06f1249e-61d1-4916-a745-f29b8095822b,animada pra aproveitar cada coisinha desse evento maravilhoso,Organizacao
