usuario,texto,entidade_mencionada
82ef0bfd-610b-4562-97b0-8175c2abd281,será que conseguimos abrir algum tipo de anuncio para juntarmos pessoas que gostaria de dividir um taxi/uber ate o aeroporto de bh,Sessoes
82ef0bfd-610b-4562-97b0-8175c2abd281,será que conseguimos abrir algum tipo de anuncio para juntarmos pessoas que gostaria de dividir um taxi/uber ate o aeroporto de bh,Taxi
82ef0bfd-610b-4562-97b0-8175c2abd281,será que conseguimos abrir algum tipo de anuncio para juntarmos pessoas que gostaria de dividir um taxi/uber ate o aeroporto de bh,Aeroporto
82ef0bfd-610b-4562-97b0-8175c2abd281,será que conseguimos abrir algum tipo de anuncio para juntarmos pessoas que gostaria de dividir um taxi/uber ate o aeroporto de bh,Organizacao
82ef0bfd-610b-4562-97b0-8175c2abd281,agradeço,Agradeco
c6825e19-2b5a-4a44-bde6-795d996a8eb4,a palestra de ontem do professor cristiano foi impecável,Professora
c6825e19-2b5a-4a44-bde6-795d996a8eb4,a palestra de ontem do professor cristiano foi impecável,Palestra
c6825e19-2b5a-4a44-bde6-795d996a8eb4,desde o conteúdo excelente até a qualidade dos slides,Slides
c6825e19-2b5a-4a44-bde6-795d996a8eb4,desde o conteúdo excelente até a qualidade dos slides,Qualidade
c6825e19-2b5a-4a44-bde6-795d996a8eb4,desde o conteúdo excelente até a qualidade dos slides,Organizacao
c6825e19-2b5a-4a44-bde6-795d996a8eb4,desenvoltura na apresentação,Palestra
c6825e19-2b5a-4a44-bde6-795d996a8eb4,desenvoltura na apresentação,Organizacao
c6825e19-2b5a-4a44-bde6-795d996a8eb4,a palestra foi muito útil para mim,Palestra
9f715091-a842-4e78-bc23-8b4e76a970ee,animada para as próximas palestras,Palestra
9f715091-a842-4e78-bc23-8b4e76a970ee,sessões técnicas,Sessoes
eb8d16fd-273f-4692-a05b-0b0ace35d1f2,apresentações  muito interessantes,Palestra
2e1d0251-bc6d-4a92-9d96-ea15c9652624,wow,Wow
d5592a98-b082-4768-aa50-2264085225ec,excelente palestra,Palestra
8d05c61b-5329-4904-9b62-a6a9a3280591,"a palestra de ontem, ""ia generativa, iot",Palestra
8d05c61b-5329-4904-9b62-a6a9a3280591,"a palestra de ontem, ""ia generativa, iot",Organizacao
8d05c61b-5329-4904-9b62-a6a9a3280591,"interoperabilidade"", foi sensacional",Interoperabilidade
8d05c61b-5329-4904-9b62-a6a9a3280591,"o palestrante mostrou-se sensato, honesto",Palestra
8d05c61b-5329-4904-9b62-a6a9a3280591,"visionário, demonstrando de forma clara as necessidades",Necessidades
8d05c61b-5329-4904-9b62-a6a9a3280591,"visionário, demonstrando de forma clara as necessidades",Forma
