usuario,texto,entidade_mencionada
7d582411-e617-4105-8edf-bca7ee066eca,gostei bastante da decoração,Decoracao
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,credenciamento organizado,Credenciamento
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,cachorro cupuaçu,Cachorro
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,decoração muito boa,Decoracao
e2b6d403-470e-4752-8767-48575bb10c67,bom evento ai galera,Secom
15ae4086-4952-4aac-a16b-5c2852e5e523,tá cedo pra querer saber qual é o shampoo do patrick,Shampoo
15ae4086-4952-4aac-a16b-5c2852e5e523,tá cedo pra querer saber qual é o shampoo do patrick,Patrick
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms",Playlist
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms",Dms
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms",Renner
15ae4086-4952-4aac-a16b-5c2852e5e523,quem vai me passar a playlist dessa abertura aí,Playlist
15ae4086-4952-4aac-a16b-5c2852e5e523,quem vai me passar a playlist dessa abertura aí,Abertura
15ae4086-4952-4aac-a16b-5c2852e5e523,"devia ter um jeito de ver todos os comentários, isso é paias",Paias
15ae4086-4952-4aac-a16b-5c2852e5e523,"devia ter um jeito de ver todos os comentários, isso é paias",Secom
226440c8-ce0c-42b8-a37b-8435e915955d,animada para a secom,Secom
d13dce39-51a4-4170-8b39-f06cb1f6adf6,ansiosa para o coffee break,Coffee
d13dce39-51a4-4170-8b39-f06cb1f6adf6,ansiosa para o coffee break,Break
4a38eef3-4375-45b4-b386-649cb518c20b,to com fome ja gente kkkkk,Fome
d13dce39-51a4-4170-8b39-f06cb1f6adf6,estou super animada para a secom,Secom
4a38eef3-4375-45b4-b386-649cb518c20b,"os novos comentários do pessoal não estão mostrando pra mim, paias",Paias
4a38eef3-4375-45b4-b386-649cb518c20b,"os novos comentários do pessoal não estão mostrando pra mim, paias",Pessoal
a9d36446-c85c-43d3-bccf-8084d2231951,gostei muito da organização,Secom
a9d36446-c85c-43d3-bccf-8084d2231951,da apresentação de abertura,Abertura
a9d36446-c85c-43d3-bccf-8084d2231951,da apresentação de abertura,Palestras
f436cb6f-b331-4a0c-ba41-567a1f74ef05,a decoração esta incrivel,Decoracao
7568d4e3-7c42-4c07-9246-161f8f144017,muito bom as palmas para a gláucia,Glaucia
7568d4e3-7c42-4c07-9246-161f8f144017,muito bom as palmas para a gláucia,Secom
7568d4e3-7c42-4c07-9246-161f8f144017,o para o nacif,Nacif
f436cb6f-b331-4a0c-ba41-567a1f74ef05,ansioso para a gamejam,Gamejam
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal o projeto da gamehub,Projeto
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal o projeto da gamehub,Gamehub
