usuario,texto,entidade_mencionada
88254066-58d3-4049-ac9d-5b393c178080,animado para o início do evento,Inicio
8fb055f1-9990-4f11-afef-3ae3fc70657f,"✈️😎
animado para o wrnp 2026",Wrnp
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Praia
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Ponto
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Viagem
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Transfer
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Ponto
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Palestras
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Senha
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Masculino
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Organizacao
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Desembarque
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Wrnp
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Saida
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Transfer
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,já estou em praia do forte - ba,Ponto
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,já estou em praia do forte - ba,Praia
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,aguardando o wrnp amanhã 😁,Wrnp
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,animação total 😉,Animacao
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,qual será a rede wi-fi do wrnp,Wi-fi
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,qual será a rede wi-fi do wrnp,Senha
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,qual será a rede wi-fi do wrnp,Wrnp
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,wi-fi wrnp: wrnp/sbrc senha wrnp@sbrc,Wi-fi
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,wi-fi wrnp: wrnp/sbrc senha wrnp@sbrc,Senha
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,wi-fi wrnp: wrnp/sbrc senha wrnp@sbrc,Wrnp
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Ponto
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Eventos
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Praia
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Local
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Livro
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Banheiro
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Ponto
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Masculino
8fb055f1-9990-4f11-afef-3ae3fc70657f,12 semanas,Semanas
8fb055f1-9990-4f11-afef-3ae3fc70657f,para mudar uma vida,Vida
3184b5ae-cd29-4695-b0f9-64602efe7d86,qual o @ dos fotógrafos do evento,Fotografos
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,14:00
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,Palestras
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,Qr-codes
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,Inicio
b9ce085c-74f8-412e-8a55-1391f0867ebd,serão mostrados novamente no final das palestras das 14:00,Final
b9ce085c-74f8-412e-8a55-1391f0867ebd,serão mostrados novamente no final das palestras das 14:00,14:00
b9ce085c-74f8-412e-8a55-1391f0867ebd,serão mostrados novamente no final das palestras das 14:00,Palestras
2615c42b-7054-4037-9fb0-0ab0075760b1,não me inscrevi no transfer pra a volta ao aeroporto hoje,Volta
2615c42b-7054-4037-9fb0-0ab0075760b1,não me inscrevi no transfer pra a volta ao aeroporto hoje,Viagem
2615c42b-7054-4037-9fb0-0ab0075760b1,não me inscrevi no transfer pra a volta ao aeroporto hoje,Transfer
0275a659-84e2-45b4-8b36-75bc13084819,"fotos do evento:
https://arleyprates",Fotografos
0275a659-84e2-45b4-8b36-75bc13084819,"fotos do evento:
https://arleyprates",Https://arleyprates
0275a659-84e2-45b4-8b36-75bc13084819,com/disk/2026-05-25-wrnp-2026,Disk/
