usuario,texto,entidade_mencionada,score_sentimento
7d582411-e617-4105-8edf-bca7ee066eca,gostei bastante da decoração,Decoracao,0.4215
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,credenciamento organizado,Credenciamento,0.0
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,cachorro cupuaçu,Cachorro,0.0
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,decoração muito boa,Decoracao,0.4588
e2b6d403-470e-4752-8767-48575bb10c67,bom evento ai galera,Secom,0.0516
15ae4086-4952-4aac-a16b-5c2852e5e523,tá cedo pra querer saber qual é o shampoo do patrick,Patrick,0.0
15ae4086-4952-4aac-a16b-5c2852e5e523,tá cedo pra querer saber qual é o shampoo do patrick,Shampoo,0.0
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms",Renner,0.4588
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms",Playlist,0.4588
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms",Dms,0.4588
15ae4086-4952-4aac-a16b-5c2852e5e523,quem vai me passar a playlist dessa abertura aí,Abertura,-0.1027
15ae4086-4952-4aac-a16b-5c2852e5e523,quem vai me passar a playlist dessa abertura aí,Playlist,-0.1027
15ae4086-4952-4aac-a16b-5c2852e5e523,"devia ter um jeito de ver todos os comentários, isso é paias",Secom,0.0
15ae4086-4952-4aac-a16b-5c2852e5e523,"devia ter um jeito de ver todos os comentários, isso é paias",Pao,0.0
226440c8-ce0c-42b8-a37b-8435e915955d,animada para a secom,Secom,-0.1531
d13dce39-51a4-4170-8b39-f06cb1f6adf6,ansiosa para o coffee break,Break,-0.1531
d13dce39-51a4-4170-8b39-f06cb1f6adf6,ansiosa para o coffee break,Coffee,-0.1531
4a38eef3-4375-45b4-b386-649cb518c20b,to com fome ja gente kkkkk,Fome,-0.4404
d13dce39-51a4-4170-8b39-f06cb1f6adf6,estou super animada para a secom,Secom,0.5106
4a38eef3-4375-45b4-b386-649cb518c20b,"os novos comentários do pessoal não estão mostrando pra mim, paias",Pao,-0.296
4a38eef3-4375-45b4-b386-649cb518c20b,"os novos comentários do pessoal não estão mostrando pra mim, paias",Pessoas,-0.296
a9d36446-c85c-43d3-bccf-8084d2231951,gostei muito da organização,Secom,0.4215
a9d36446-c85c-43d3-bccf-8084d2231951,da apresentação de abertura,Abertura,0.34
a9d36446-c85c-43d3-bccf-8084d2231951,da apresentação de abertura,Palestras,0.34
f436cb6f-b331-4a0c-ba41-567a1f74ef05,a decoração esta incrivel,Decoracao,0.6705
7568d4e3-7c42-4c07-9246-161f8f144017,muito bom as palmas para a gláucia,Secom,0.34
7568d4e3-7c42-4c07-9246-161f8f144017,muito bom as palmas para a gláucia,Glaucia,0.34
7568d4e3-7c42-4c07-9246-161f8f144017,o para o nacif,Nacif,-0.1531
f436cb6f-b331-4a0c-ba41-567a1f74ef05,ansioso para a gamejam,Gamejam,0.2263
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal o projeto da gamehub,Gamehub,0.128
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal o projeto da gamehub,Projeto,0.128
7568d4e3-7c42-4c07-9246-161f8f144017,opções duplicadas no questionário de avaliação do my mobiconf,Secom,0.0
7568d4e3-7c42-4c07-9246-161f8f144017,opções duplicadas no questionário de avaliação do my mobiconf,Perguntas,0.0
7568d4e3-7c42-4c07-9246-161f8f144017,opções duplicadas no questionário de avaliação do my mobiconf,Opcoes,0.0
7568d4e3-7c42-4c07-9246-161f8f144017,opções duplicadas no questionário de avaliação do my mobiconf,Mobi,0.0
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,time aseta➡️,Tarde,0.0
03164614-b683-45b1-98f0-7179e65cd4ed,"achei o fotógrafo muito charmoso, alguém sabe me falar qual o nome dele",Fotografo,0.0772
03164614-b683-45b1-98f0-7179e65cd4ed,"achei o fotógrafo muito charmoso, alguém sabe me falar qual o nome dele",Nome,0.0772
12c8e1ec-c662-415a-b106-b64ccb7ece3f,parabéns aos professores daniel,Professores,0.5994
12c8e1ec-c662-415a-b106-b64ccb7ece3f,philipe pelo projeto,Philipe,0.0
12c8e1ec-c662-415a-b106-b64ccb7ece3f,philipe pelo projeto,Projeto,0.0
12c8e1ec-c662-415a-b106-b64ccb7ece3f,os alunos envolvidos,Curso,0.0
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,cofe breaqui,Trabalho,0.0
226440c8-ce0c-42b8-a37b-8435e915955d,adorei o tema da gamejan,Secom,0.0
226440c8-ce0c-42b8-a37b-8435e915955d,adorei o tema da gamejan,Gamejam,0.0
19f49226-5a60-463b-85d3-ac562e4eddc4,tema da gamejam muito daora,Secom,0.0
19f49226-5a60-463b-85d3-ac562e4eddc4,tema da gamejam muito daora,Gamejam,0.0
19f49226-5a60-463b-85d3-ac562e4eddc4,projeto incrível organizado pelo daniel,Philipe,0.6705
19f49226-5a60-463b-85d3-ac562e4eddc4,projeto incrível organizado pelo daniel,Projeto,0.6705
19f49226-5a60-463b-85d3-ac562e4eddc4,philipe,Philipe,0.0
c9e2374f-bf33-4003-b871-6ecb5ae22aee,coffee break muito bom,Break,0.4588
3e72f254-acab-4aec-ad73-bf9dff9c21ad,muito bom o coffe break,Coffe,0.4588
4a38eef3-4375-45b4-b386-649cb518c20b,"coffee break ótimo, to de bucho cheio",Secom,0.6705
4a38eef3-4375-45b4-b386-649cb518c20b,"coffee break ótimo, to de bucho cheio",Break,0.6705
86cb75a4-c315-4d9a-9289-8ea110fc8799,assunto interessante,Secom,0.4019
8f4c1ec8-e5ed-4ce2-90f1-84bbab673805,ihc é uma area super interessante,Secom,0.765
8f4c1ec8-e5ed-4ce2-90f1-84bbab673805,ihc é uma area super interessante,Secom,0.765
47cacf3f-e0f2-421b-a645-5e0efd6cc615,"feliz demais em ter vindo varado de fome pra essa abertura, que coffe break",Coffe,0.5574
47cacf3f-e0f2-421b-a645-5e0efd6cc615,"feliz demais em ter vindo varado de fome pra essa abertura, que coffe break",Abertura,0.5574
47cacf3f-e0f2-421b-a645-5e0efd6cc615,"feliz demais em ter vindo varado de fome pra essa abertura, que coffe break",Fome,0.5574
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação de ia muito boa,Palestras,0.4588
03164614-b683-45b1-98f0-7179e65cd4ed,queria mais atenção do fotógrafo,Secom,-0.34
03164614-b683-45b1-98f0-7179e65cd4ed,queria mais atenção do fotógrafo,Fotografo,-0.34
7d582411-e617-4105-8edf-bca7ee066eca,gostei dos temas das palestras,Secom,0.4215
7d582411-e617-4105-8edf-bca7ee066eca,gostei dos temas das palestras,Palestras,0.4215
43aca24c-d788-497e-8521-06df728eeaf8,animado pra gamejam,Gamejam,0.4404
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Secom,-0.128
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Etica,-0.128
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Valorant,-0.128
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Espera,-0.128
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,a nova interface,Interface,0.0
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Secom,0.6705
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Programacao,0.6705
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Mobi,0.6705
37ec55d9-b848-47bd-9a33-f64afd2dd867,mto bom,Mto,0.4588
5bc436a4-ec67-4216-87a7-d9152877d21f,adorei a palestra,Palestras,0.0
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,seria legal se tivesse uma aba pra ver todos os comentários  :(,Secom,-0.34
e2b6d403-470e-4752-8767-48575bb10c67,seria bom ter a opção de ler todos os comentários,Opcao,0.4588
