usuario,texto,entidade_mencionada,score_sentimento
88254066-58d3-4049-ac9d-5b393c178080,animado para o início do evento,Inicio,0.3182
8fb055f1-9990-4f11-afef-3ae3fc70657f,"✈️😎
animado para o wrnp 2026",Wrnp,0.3182
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Praia,0.2023
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Transfer,0.2023
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Aeroporto,0.2023
8fb055f1-9990-4f11-afef-3ae3fc70657f,"boa viagem a todos 🙌
onde é o ponto do transfer para praia do forte",Forte,0.2023
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Wrnp,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Transfer,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Organizacao,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Palestras,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Saida,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Forte,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Rede,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Desembarque,0.5994
8fb055f1-9990-4f11-afef-3ae3fc70657f,"já localizei o ponto de encontro do transfer na saida do desembarque nacional ✅
tem uma pessoa com a plaquinha do wrnp por aqui 👍
parabéns pela organização",Masculino,0.5994
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,já estou em praia do forte - ba,Praia,-0.128
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,já estou em praia do forte - ba,Forte,-0.128
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,aguardando o wrnp amanhã 😁,Wrnp,0.0
74e571a0-bb53-4bbb-a1fa-17c42c9a83a1,animação total 😉,Animacao,0.0
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,qual será a rede wi-fi do wrnp,Wi-fi,0.0
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,qual será a rede wi-fi do wrnp,Wrnp,0.0
f1e4367a-1a45-41d6-9e4b-ce9dc5a2cd47,qual será a rede wi-fi do wrnp,Rede,0.0
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,wi-fi wrnp: wrnp/sbrc senha wrnp@sbrc,Wi-fi,0.0
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,wi-fi wrnp: wrnp/sbrc senha wrnp@sbrc,Wrnp,0.0
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,wi-fi wrnp: wrnp/sbrc senha wrnp@sbrc,Rede,0.0
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Praia,0.6908
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Forte,0.6908
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Local,0.6908
0105ee3b-04a7-4fc4-9a6b-0de8396f7231,"o local muito bom para os eventos, praia do forte é top",Eventos,0.6908
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Masculino,0.0
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Banheiro,0.0
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Livro,0.0
8fb055f1-9990-4f11-afef-3ae3fc70657f,"aviso:
alguém esqueceu um livro no banheiro masculino",Forte,0.0
8fb055f1-9990-4f11-afef-3ae3fc70657f,12 semanas,Semanas,0.0
8fb055f1-9990-4f11-afef-3ae3fc70657f,para mudar uma vida,Vida,-0.1531
